"","opa_number","street_address","zip_code","principal_due","penalty_due","interest_due","other_charges_due","total_due","is_actionable","payment_agreement","num_years_owed","most_recent_year_owed","oldest_year_owed","year_of_last_assessment","taxable_assessment","mailing_city","mailing_state","general_building_description","building_category","exempt_abatement_assessment","homestead_value","net_tax_value_after_homestead","sheriff_sale","liens_sold_1990s","liens_sold_2015","assessment_under_appeal","year_month","full_address","latitude","longitude","delinquent"
"11",34089300,"5817 WINDSOR ST",19143,5.04,7.93,7.88,186.44,207.29,TRUE,FALSE,2,2021,2020,2022,62200,NA,NA,"house","residential",0,629.91,240.77,"N",FALSE,"N",FALSE,202206,"5817 Windsor St, Philadelphia, PA, USA",39.92943752,-75.24228096,1
"12",34092800,"5929 WINDSOR ST",19143,442.64,74.37,66.27,320.81,904.09,TRUE,FALSE,2,2021,2019,2022,64400,"PHILADELPHIA","PA","house","residential",0,0,901.47,"N",FALSE,"N",FALSE,202206,"5929 Windsor St, Philadelphia, PA, USA",39.92942367,-75.24228535,1
"13",34102300,"5845 BELMAR ST",19143,1991.77,129.27,192.41,353.45,2666.9,TRUE,FALSE,3,2021,2018,2022,63100,NA,NA,"house","residential",0,0,883.27,"N",FALSE,"N",FALSE,202206,"5845 Belmar St, Philadelphia, PA, USA",39.93676684,-75.23088946,1
"14",34106700,"5816 BELMAR ST",19143,1017.37,112.91,53.41,213.78,1397.47,TRUE,FALSE,2,2021,2020,2022,63200,NA,NA,"house","residential",0,0,884.67,"N",FALSE,"N",FALSE,202206,"5816 Belmar St, Philadelphia, PA, USA",39.93694167,-75.2304252,1
"15",34115800,"5921 SPRINGFIELD AVE",19143,3565.57,237.23,499.54,823.55,5125.89,TRUE,FALSE,3,2021,2019,2022,76800,NA,NA,"house","residential",0,0,1075.05,"N",FALSE,"N",FALSE,202206,"5921 Springfield Ave, Philadelphia, PA, USA",39.93556105,-75.23151175,1
"16",34125100,"1530 S 58TH ST",19143,326.36,22.85,105.25,146.04,600.5,TRUE,FALSE,1,2018,2018,2022,86000,NA,NA,"house","residential",0,629.91,573.92,"N",FALSE,"N",FALSE,202206,"1530 S 58th St, Philadelphia, PA, USA",39.93949997,-75.23297142,1
"17",34127500,"1712 S 58TH ST",19143,85.98,6.02,12.25,144.23,248.48,TRUE,FALSE,2,2021,2020,2022,40600,NA,NA,"house","residential",0,0,568.32,"N",FALSE,"N",FALSE,202206,"1712 S 58th St, Philadelphia, PA, USA",39.93759669,-75.23083472,1
"18",34130400,"1621 S 59TH ST",19143,3.95,0.28,1.24,91.47,96.94,TRUE,FALSE,1,2018,2018,2022,63900,NA,NA,"house","residential",0,629.91,264.56,"N",FALSE,"N",FALSE,202206,"1621 S 59th St, Philadelphia, PA, USA",39.93764884,-75.23322245,1
"19",41006000,"5504 RACE ST",19139,736.3,108.07,201.19,338.97,1384.53,TRUE,FALSE,2,2020,2019,2022,51100,NA,NA,"house","residential",0,0,715.3,"N",FALSE,"N",FALSE,202206,"5504 Race St, Philadelphia, PA, USA",39.96379067,-75.23041802,1
"20",41009800,"5437 RACE ST",19139,921.01,83.79,481.29,552.87,2038.96,TRUE,FALSE,3,2018,2014,2022,35100,NA,NA,"house","residential",0,491.33,0,"N",FALSE,"N",FALSE,202206,"5437 Race St, Philadelphia, PA, USA",39.96375643,-75.22917945,1
"21",41011800,"5503 RACE ST",19139,299.69,20.98,69.68,139.63,529.98,TRUE,FALSE,1,2019,2019,2022,41800,NA,NA,"house","residential",0,585.12,0,"N",FALSE,"N",FALSE,202206,"5503 Race St, Philadelphia, PA, USA",39.96389963,-75.23036123,1
"22",41015500,"5426 SPRING ST",19139,921.99,77.65,240.65,470.43,1726.29,TRUE,FALSE,2,2019,2018,2022,44200,NA,NA,"house","residential",0,618.71,0,"N",FALSE,"N",FALSE,202206,"5426 Spring St, Philadelphia, PA, USA",39.96398319,-75.22855236,1
"23",41019900,"5413 SPRING ST",19139,3259.56,221.12,785.51,1484.86,5751.05,TRUE,FALSE,6,2021,2016,2022,43800,NA,NA,"house","residential",0,0,613.11,"N",FALSE,"N",FALSE,202206,"5413 Spring St, Philadelphia, PA, USA",39.96405883,-75.22822923,1
"24",41020300,"5421 SPRING ST",19139,1865.07,200.15,463.5,710.42,3239.14,TRUE,FALSE,5,2021,2017,2022,43800,"NEW CASTLE","DE","house","residential",0,0,613.11,"N",FALSE,"N",FALSE,202206,"5421 Spring St, Philadelphia, PA, USA",39.96408023,-75.22840009,1
"25",41021700,"5449 SPRING ST",19139,4424.87,302.69,1576.67,2002.78,8307.01,TRUE,FALSE,9,2021,2013,2022,43800,"PHILADELPHIA","PA","house","residential",0,0,613.11,"N",FALSE,"N",FALSE,202206,"5449 Spring St, Philadelphia, PA, USA",39.96415514,-75.22899813,1
"26",41021800,"5451 SPRING ST",19139,2514.2,172.63,555.68,742.5,3985.01,TRUE,FALSE,6,2021,2011,2022,43800,NA,NA,"house","residential",0,0,613.11,"N",FALSE,"N",FALSE,202206,"5451 Spring St, Philadelphia, PA, USA",39.96416049,-75.22904084,1
"27",41026100,"5428 SUMMER ST",19139,3013.65,204.12,686.87,1304.67,5209.31,TRUE,FALSE,6,2021,2016,2022,42500,NA,NA,"house","residential",0,0,594.91,"N",FALSE,"N",FALSE,202206,"5428 Summer St, Philadelphia, PA, USA",39.96437915,-75.22901963,1
"28",41027500,"5456 SUMMER ST",19139,158.48,11.24,36.98,109.34,316.04,TRUE,FALSE,1,2019,2019,2022,42500,NA,NA,"house","residential",0,0,594.91,"N",FALSE,"N",FALSE,202206,"5456 Summer St, Philadelphia, PA, USA",39.96442699,-75.22942948,1
"29",41037200,"5412 PEARL ST",19139,1014.14,168.15,616.99,1086.03,2885.31,TRUE,FALSE,8,2021,2013,2022,49300,NA,NA,"house","residential",0,424.14,265.96,"N",FALSE,"N",FALSE,202206,"5412 Pearl St, Philadelphia, PA, USA",39.96585888,-75.22806262,1
"30",322138910,"1842 N BUCKNELL ST",19121,1504.96,160.61,511.71,1159.68,3336.96,TRUE,FALSE,8,2021,2013,2022,26100,NA,NA,"house","residential",0,0,365.35,"N",FALSE,"N",FALSE,202206,"1842 N Bucknell St, Philadelphia, PA, USA",39.982903,-75.17314488,1
"31",323121201,"3140 DIAMOND ST",19121,9820.6,660.39,1776.73,1728.75,13986.47,TRUE,FALSE,5,2021,2017,2022,168000,NA,NA,"house","residential",0,0,2351.66,"N",FALSE,"N",FALSE,202206,"3140 Diamond St, Philadelphia, PA, USA",39.9882637,-75.18446767,1
"32",323142501,"2928 WESTMONT ST",19121,1189.12,81.68,409.11,769.3,2449.21,TRUE,FALSE,8,2021,2014,2022,9600,NA,NA,"house","residential",0,0,134.38,"N",FALSE,"N",FALSE,202206,"2928 Westmont St, Philadelphia, PA, USA",39.98857645,-75.18093971,1
"33",323303401,"1942 N NAPA ST",19121,704.46,49.81,379.09,482.76,1616.12,TRUE,FALSE,5,2018,2012,2022,10600,NA,NA,"house","residential",0,0,148.38,"N",FALSE,"N",FALSE,202206,"1942 N Napa St, Philadelphia, PA, USA",39.98595363,-75.18494532,1
"34",131079800,"1626 W BUTLER ST",19140,808.97,56.63,115.28,284.47,1265.35,TRUE,FALSE,1,2020,2020,2022,52300,NA,NA,"house","residential",0,0,732.1,"N",FALSE,"N",FALSE,202206,"1626 W Butler St, Philadelphia, PA, USA",40.01131566,-75.1549747,1
"35",62157500,"4046 CAMBRIDGE ST",19104,2115.67,243.31,371.17,1030.98,3761.13,TRUE,FALSE,5,2021,2017,2022,57400,NA,NA,"house","residential",0,0,803.49,"N",FALSE,"N",FALSE,202206,"4046 Cambridge St, Philadelphia, PA, USA",39.97322588,-75.20516909,1
"36",62157900,"4054 CAMBRIDGE ST",19104,0,32.15,83.05,260.17,375.37,TRUE,FALSE,3,2018,2012,2022,31700,"PHILADELPHIA","PA","house","residential",0,443.74,0,"N",FALSE,"N",FALSE,202206,"4054 Cambridge St, Philadelphia, PA, USA",39.97320811,-75.20533039,1
"37",62175800,"4037 W GIRARD AVE",19104,831.15,55.49,151.84,405.63,1444.11,TRUE,FALSE,4,2021,2017,2022,16700,"PHILADELPHIA","PA","house","residential",0,0,233.77,"N",FALSE,"N",FALSE,202206,"4037 W Girard Ave, Philadelphia, PA, USA",39.97408152,-75.2051221,1
"38",62202000,"4257 LEIDY AVE",19104,1219.34,120.66,152.31,484.48,1976.79,TRUE,FALSE,2,2021,2020,2022,58900,"WAIANAE","HI","house","residential",0,0,824.48,"N",FALSE,"N",FALSE,202206,"4257 Leidy Ave, Philadelphia, PA, USA",39.97572693,-75.21172879,1
"39",82109100,"1703 RITTENHOUSE SQ",19103,0.06,0,0.01,0,0.07,TRUE,FALSE,1,2020,2020,2022,1174800,"HUNTINGDON VY","PA","house","residential",725200,0,16444.85,"N",FALSE,"N",FALSE,202206,"1703 Rittenhouse Sq, Philadelphia, PA, USA",39.94827886,-75.16954692,1
"40",82115700,"1924 RITTENHOUSE SQ",19103,0.07,0,0.01,0,0.08,TRUE,FALSE,1,2020,2020,2022,1247067,"PRINCETON","NJ","house","residential",52933,0,17456.44,"N",FALSE,"N",FALSE,202206,"1924 Rittenhouse Sq, Philadelphia, PA, USA",39.94876516,-75.17331802,1
"41",91009800,"402 E ALLENS LN",19119,34303.55,2353.42,12684.88,4629.11,53970.96,TRUE,FALSE,9,2021,2013,2022,297100,NA,NA,"house","residential",0,0,4158.81,"Y",FALSE,"N",FALSE,202206,"402 E Allens Ln, Philadelphia, PA, USA",40.06569453,-75.18653639,1
"42",91057600,"304 CREST PARK RD",19119,29367.36,1992.04,6549.14,2939.2,40847.74,TRUE,FALSE,5,2021,2017,2022,395600,NA,NA,"house","residential",0,0,5537.61,"Y",FALSE,"N",FALSE,202206,"304 Crest Park Rd, Philadelphia, PA, USA",40.06702132,-75.19132872,1
"43",91064000,"401 WOODBROOK LN",19119,34765.21,2932.97,5555.59,2982.97,46236.74,TRUE,FALSE,4,2021,2017,2022,757800,NA,NA,"house","residential",0,0,10607.68,"Y",FALSE,"N",FALSE,202206,"401 Woodbrook Ln, Philadelphia, PA, USA",40.07074519,-75.19009839,1
"44",92281520,"8202 MILLMAN ST",19118,15.81,1.11,2.25,1.15,20.32,TRUE,FALSE,1,2020,2020,2022,820000,NA,NA,"house","residential",0,629.91,10848.45,"N",FALSE,"N",FALSE,202206,"8202 Millman St, Philadelphia, PA, USA",40.07010991,-75.20594404,1
"45",101002900,"6814 N BROAD ST",19126,106.7,7.47,15.2,113.53,242.9,TRUE,FALSE,1,2020,2020,2022,185000,NA,NA,"house","residential",0,629.91,1959.72,"N",FALSE,"N",FALSE,202206,"6814 N Broad St, Philadelphia, PA, USA",40.05729872,-75.14080621,1
"46",101020800,"6826 N 15TH ST",19126,5088.36,330.24,491.54,1279.65,7189.79,TRUE,FALSE,2,2021,2020,2022,161200,"PHILA","PA","house","residential",0,0,2256.48,"N",FALSE,"N",FALSE,202206,"6826 N 15th St, Philadelphia, PA, USA",40.05722078,-75.14252124,1
"47",101033200,"6822 N 16TH ST",19126,174.66,64.95,125.01,348.48,713.1,TRUE,FALSE,3,2021,2016,2022,132900,NA,NA,"house","residential",0,629.91,1230.42,"N",FALSE,"N",FALSE,202206,"6822 N 16th St, Philadelphia, PA, USA",40.05740324,-75.14429441,1
"48",101033500,"6613 N SMEDLEY ST",19126,12.35,0.86,1.76,1.5,16.47,TRUE,FALSE,1,2020,2020,2022,126200,NA,NA,"house","residential",0,629.91,1136.64,"N",FALSE,"N",FALSE,202206,"6613 N Smedley St, Philadelphia, PA, USA",40.05433657,-75.14542712,1
"49",101034900,"6641 N SMEDLEY ST",19126,4826.81,368.33,1235.2,957.37,7387.71,TRUE,FALSE,7,2021,2014,2022,126200,"WEST ORANGE","NJ","house","residential",0,629.91,1136.64,"N",FALSE,"N",FALSE,202206,"6641 N Smedley St, Philadelphia, PA, USA",40.05474657,-75.14533654,1
"50",101039400,"6632 N SMEDLEY ST",19126,3218.94,268.68,615.99,537.03,4640.64,TRUE,FALSE,3,2021,2019,2022,111900,NA,NA,"house","residential",0,629.91,936.47,"N",FALSE,"N",FALSE,202206,"6632 N Smedley St, Philadelphia, PA, USA",40.05464854,-75.14551003,1
"51",101045800,"6713 N 17TH ST",19126,44.9,120.65,153.35,475.96,794.86,TRUE,FALSE,3,2018,2015,2022,112900,NA,NA,"house","residential",0,0,1580.37,"N",FALSE,"N",FALSE,202206,"6713 N 17th St, Philadelphia, PA, USA",40.05598473,-75.14587716,1
"52",101046300,"6723 N 17TH ST",19126,3513.25,228.01,339.39,950.34,5030.99,TRUE,FALSE,2,2021,2020,2022,111300,NA,NA,"house","residential",0,0,1557.98,"N",FALSE,"N",FALSE,202206,"6723 N 17th St, Philadelphia, PA, USA",40.05613208,-75.14584479,1
"53",101055800,"7215 PITTVILLE AVE",19126,0,45.28,0,191.56,236.84,TRUE,FALSE,2,2017,2016,2022,120100,NA,NA,"house","residential",0,629.91,1051.25,"N",FALSE,"N",FALSE,202206,"7215 Pittville Ave, Philadelphia, PA, USA",40.06320684,-75.14528014,1
"54",101060700,"7333 PITTVILLE AVE",19126,3558.92,239.67,549.42,551.7,4899.71,TRUE,FALSE,3,2021,2019,2022,122500,NA,NA,"house","residential",0,629.91,1084.85,"N",FALSE,"N",FALSE,202206,"7333 Pittville Ave, Philadelphia, PA, USA",40.06497686,-75.14414415,1
"55",101065100,"6605 N BOUVIER ST",19126,1145.4,68.72,60.13,337.29,1611.54,TRUE,FALSE,2,2021,2019,2022,111500,NA,NA,"house","residential",0,0,1560.78,"N",FALSE,"N",FALSE,202206,"6605 N Bouvier St, Philadelphia, PA, USA",40.05442657,-75.1470238,1
"56",101065500,"6613 N BOUVIER ST",19126,1665.18,135.45,168.11,435.63,2404.37,TRUE,FALSE,3,2021,2019,2022,111500,NA,NA,"house","residential",0,629.91,930.87,"N",FALSE,"N",FALSE,202206,"6613 N Bouvier St, Philadelphia, PA, USA",40.05454371,-75.14699826,1
"57",101077100,"6736 N BOUVIER ST",19126,3962.3,268.64,471.9,1091.48,5794.32,TRUE,FALSE,3,2021,2019,2022,110900,"PHILADELPHIA","PA","house","residential",0,0,1552.38,"N",FALSE,"N",FALSE,202206,"6736 N Bouvier St, Philadelphia, PA, USA",40.05643898,-75.14673504,1
"58",101082600,"6613 N 18TH ST",19126,6137.39,910.79,1434.61,2783.73,11266.52,TRUE,FALSE,10,2021,2012,2022,123700,"BROOKLYN","NY","house","residential",0,0,1731.55,"N",FALSE,"N",FALSE,202206,"6613 N 18th St, Philadelphia, PA, USA",40.05464426,-75.14778247,1
"59",101091900,"7333 N 18TH ST",19126,2686.05,199.6,450.93,737.66,4074.24,TRUE,FALSE,3,2021,2019,2022,117300,"PHILADELPHIA","PA","house","residential",0,629.91,1012.06,"N",FALSE,"N",FALSE,202206,"7333 N 18th St, Philadelphia, PA, USA",40.06610782,-75.14527497,1
"60",292261610,"1548 N HOLLYWOOD ST",19121,2102.6,169.61,266.72,555.68,3094.61,TRUE,FALSE,3,2021,2019,2022,58500,NA,NA,"house","residential",0,0,818.88,"N",FALSE,"N",FALSE,202206,"1548 N Hollywood St, Philadelphia, PA, USA",39.97972968,-75.18303512,1
"61",62395400,"933 N MARKOE ST",19131,626.76,137.36,185.29,491.76,1441.17,TRUE,FALSE,4,2021,2018,2022,56300,"PAULSBORO","NJ","house","residential",0,0,788.09,"N",FALSE,"N",FALSE,202206,"933 N Markoe St, Philadelphia, PA, USA",39.96970462,-75.21479721,1
"62",62398100,"840 N MARKOE ST",19139,73,16.94,14.83,111.07,215.84,TRUE,FALSE,2,2021,2020,2022,22800,"PHILADELPHIA","PA","house","residential",0,0,319.15,"N",FALSE,"N",FALSE,202206,"840 N Markoe St, Philadelphia, PA, USA",39.96747046,-75.21466577,1
"63",71236600,"212 E INDIANA AVE",19134,461.28,41.07,53.89,292.57,848.81,TRUE,FALSE,2,2021,2020,2022,21800,"PHILADELPHIA","PA","house","residential",0,0,305.16,"N",FALSE,"N",FALSE,202206,"212 E Indiana Ave, Philadelphia, PA, USA",39.99510142,-75.12759931,1
"64",71238700,"252 E INDIANA AVE",19134,1301.3,108.41,401.15,684.91,2495.77,TRUE,FALSE,4,2021,2017,2022,21800,NA,NA,"house","residential",0,0,305.16,"N",FALSE,"N",FALSE,202206,"252 E Indiana Ave, Philadelphia, PA, USA",39.99496596,-75.12654134,1
"65",71242400,"546 E INDIANA AVE",19134,0,18.22,17.09,104.12,139.43,TRUE,FALSE,1,2019,2019,2022,21600,NA,NA,"house","residential",0,0,302.36,"N",FALSE,"N",FALSE,202206,"546 E Indiana Ave, Philadelphia, PA, USA",39.99416309,-75.12036929,1
"66",71261200,"250 E ELKHART ST",19134,795.45,51.63,76.83,382.12,1306.03,TRUE,FALSE,2,2021,2020,2022,25200,"PHILADELPHIA","PA","house","residential",0,0,352.75,"N",FALSE,"N",FALSE,202206,"250 E Elkhart St, Philadelphia, PA, USA",39.99607793,-75.12647057,1
"67",71263600,"223 E ELKHART ST",19134,1011.19,66.83,129.57,363.27,1570.86,TRUE,FALSE,3,2021,2019,2022,24600,NA,NA,"house","residential",0,0,344.35,"N",FALSE,"N",FALSE,202206,"223 E Elkhart St, Philadelphia, PA, USA",39.99623195,-75.1267705,1
"68",71264500,"241 E ELKHART ST",19134,513.89,34.83,101.48,467.39,1117.59,TRUE,FALSE,4,2021,2018,2022,7100,"PHILADELPHIA","PA","house","residential",0,0,99.39,"N",FALSE,"N",FALSE,202206,"241 E Elkhart St, Philadelphia, PA, USA",39.99620562,-75.12656205,1
"69",71266800,"455 E ELKHART ST",19134,70.84,4.96,26.05,18.33,120.18,TRUE,FALSE,2,2018,2017,2022,20600,"PHILADELPHIA","PA","house","residential",0,288.36,0,"N",FALSE,"N",FALSE,202206,"455 E Elkhart St, Philadelphia, PA, USA",39.99564296,-75.1221325,1
"70",71273200,"522 E CLEARFIELD ST",19134,3528.6,243.7,1173.19,1532.04,6477.53,TRUE,FALSE,6,2021,2016,2022,20500,"PHILADELPHIA","PA","house","residential",0,0,286.96,"N",FALSE,"N",FALSE,202206,"522 E Clearfield St, Philadelphia, PA, USA",39.99578102,-75.12098448,1
"71",71280300,"129 E LIPPINCOTT ST",19134,327.92,22.95,46.73,179.48,577.08,TRUE,FALSE,1,2020,2020,2022,21200,"PHILADELPHIA","PA","house","residential",0,0,296.76,"N",FALSE,"N",FALSE,202206,"129 E Lippincott St, Philadelphia, PA, USA",39.99756658,-75.12861607,1
"72",381138700,"2821 N 26TH ST",19132,738.05,44.38,40.94,257.98,1081.35,TRUE,FALSE,2,2021,2019,2022,45100,NA,NA,"house","residential",0,0,631.31,"N",FALSE,"N",FALSE,202206,"2821 N 26th St, Philadelphia, PA, USA",39.99836213,-75.17345452,1
"73",381141600,"2931 N 26TH ST",19132,1090.6,74.17,255.46,443.8,1864.03,TRUE,FALSE,3,2021,2018,2022,13500,"PHILADELPHIA","PA","house","residential",0,0,188.97,"N",FALSE,"N",FALSE,202206,"2931 N 26th St, Philadelphia, PA, USA",39.99999543,-75.17310354,1
"74",381142400,"2947 N 26TH ST",19132,-587.9,59.68,89.88,525.1,86.76,TRUE,FALSE,4,2017,2014,2022,42000,NA,NA,"house","residential",0,587.92,0,"N",FALSE,"N",FALSE,202206,"2947 N 26th St, Philadelphia, PA, USA",40.00022382,-75.17305459,1
"75",381143900,"3015 N 26TH ST",19132,484.43,98.54,294.25,864.37,1741.59,TRUE,FALSE,8,2021,2012,2022,47100,NA,NA,"house","residential",0,629.91,29.4,"N",FALSE,"N",FALSE,202206,"3015 N 26th St, Philadelphia, PA, USA",40.00136986,-75.17280901,1
"76",131084000,"1525 W BUTLER ST",19140,377.35,48.5,85.32,523.66,1034.83,TRUE,FALSE,4,2021,2018,2022,53300,NA,NA,"house","residential",0,629.91,116.18,"N",FALSE,"N",FALSE,202206,"1525 W Butler St, Philadelphia, PA, USA",40.01121798,-75.15342632,1
"77",131085400,"1611 W BUTLER ST",19140,1268.5,76.11,66.59,348.06,1759.26,TRUE,FALSE,2,2021,2020,2022,78800,NA,NA,"house","residential",0,0,1103.04,"N",FALSE,"N",FALSE,202206,"1611 W Butler St, Philadelphia, PA, USA",40.01136694,-75.15451925,1
"78",131141500,"3731 N 15TH ST",19140,5479.77,432.08,3372.7,992.74,10277.29,TRUE,FALSE,10,2021,2010,2022,46700,NA,NA,"house","residential",0,629.91,23.8,"Y",FALSE,"N",FALSE,202206,"3731 N 15th St, Philadelphia, PA, USA",40.00995014,-75.15269644,1
"79",131152100,"3856 N 15TH ST",19140,2468.42,160.2,238.45,548.9,3415.97,TRUE,FALSE,2,2021,2020,2022,78200,"WYNCOTE","PA","house","residential",0,0,1094.64,"N",FALSE,"N",FALSE,202206,"3856 N 15th St, Philadelphia, PA, USA",40.01190855,-75.15242214,1
"80",131158300,"3821 N SYDENHAM ST",19140,844.06,50.86,46.25,277.32,1218.49,TRUE,FALSE,2,2021,2020,2022,51100,NA,NA,"house","residential",0,0,715.3,"N",FALSE,"N",FALSE,202206,"3821 N Sydenham St, Philadelphia, PA, USA",40.01147443,-75.15318157,1
"81",131164100,"3726 N SYDENHAM ST",19140,3093.02,208.45,569.99,620.03,4491.49,TRUE,FALSE,4,2021,2018,2022,50100,"PHILADELPHIA","PA","house","residential",0,0,701.3,"N",FALSE,"N",FALSE,202206,"3726 N Sydenham St, Philadelphia, PA, USA",40.01001328,-75.1536489,1
"82",131171200,"3725 N 16TH ST",19140,682.05,218.04,282.41,536.58,1719.08,TRUE,FALSE,3,2021,2019,2022,78500,"PHILADELPHIA","PA","house","residential",0,0,1098.84,"N",FALSE,"N",FALSE,202206,"3725 N 16th St, Philadelphia, PA, USA",40.01006308,-75.15429835,1
"83",131173400,"3823 N 16TH ST",19140,1068.89,222.69,129.72,789.8,2211.1,TRUE,FALSE,5,2021,2016,2022,66400,NA,NA,"house","residential",0,0,929.47,"N",FALSE,"N",FALSE,202206,"3823 N 16th St, Philadelphia, PA, USA",40.01160393,-75.15395237,1
"84",131180000,"3738 N 16TH ST",19140,1254.17,237.24,210.04,797.53,2498.98,TRUE,FALSE,4,2021,2015,2022,78400,NA,NA,"house","residential",0,0,1097.44,"N",FALSE,"N",FALSE,202206,"3738 N 16th St, Philadelphia, PA, USA",40.01029406,-75.15439798,1
"85",131183700,"3908 N 16TH ST",19140,1086.59,92.2,568.77,758.32,2505.88,TRUE,FALSE,8,2021,2014,2022,48900,NA,NA,"house","residential",0,629.91,54.59,"N",FALSE,"N",FALSE,202206,"3908 N 16th St, Philadelphia, PA, USA",40.0129605,-75.15380566,1
"86",131184900,"3932 N 16TH ST",19140,2300.22,153.16,325.46,579.67,3358.51,TRUE,FALSE,3,2021,2019,2022,48800,"PHILADELPHIA","PA","house","residential",0,0,683.1,"N",FALSE,"N",FALSE,202206,"3932 N 16th St, Philadelphia, PA, USA",40.01346417,-75.15369534,1
"87",131188500,"3825 N SMEDLEY ST",19140,287.24,18.64,27.75,234.55,568.18,TRUE,FALSE,2,2021,2020,2022,54100,"HAMPTON","VA","house","residential",0,629.91,127.38,"N",FALSE,"N",FALSE,202206,"3825 N Smedley St, Philadelphia, PA, USA",40.0117474,-75.15473379,1
"88",102098200,"1919 INDEPENDENCE ST",19138,2557.29,463.55,878.63,1067.17,4966.64,TRUE,FALSE,6,2021,2016,2022,92700,"PHILADELPHIA","PA","house","residential",0,0,1297.61,"N",FALSE,"N",FALSE,202206,"1919 Independence St, Philadelphia, PA, USA",40.05701452,-75.15012997,1
"89",102109400,"2147 EASTBURN AVE",19138,0,0,0,81.96,81.96,TRUE,FALSE,1,2016,2016,2022,98600,NA,NA,"house","residential",0,629.91,750.29,"N",FALSE,"N",FALSE,202206,"2147 Eastburn Ave, Philadelphia, PA, USA",40.05562903,-75.15692496,1
"90",102109800,"2155 EASTBURN AVE",19138,8321.65,705.88,4930.67,1661.49,15619.69,TRUE,FALSE,11,2021,2010,2022,97400,NA,NA,"house","residential",0,629.91,733.5,"N",FALSE,"N",FALSE,202206,"2155 Eastburn Ave, Philadelphia, PA, USA",40.05557025,-75.15705032,1
